MASTERID,LAT,LONG,STRAT,rock_type,Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM
ID093G071002,53.61138,-122.9778,LTQCh,basaltic volcanic rocks,320.0,8.300000191,233.5,0.1,0.45,7.5,32.5,48.56,4.1,135.0,387.0,3.06,37.8,5.77,0.72,4.4,1.1,64.0,0.12,2.9,0.3,7.4,78.0,-0.1,81.7,15.5,14800.00019,9500.0,20600.0,700.0000000000001,3200.0,260.0,1110.0,3000.0,400.0
ID093G071003,53.62691,-122.96569,LTQCh,basaltic volcanic rocks,220.0,1.799999952,171.0,0.06,0.39,2.5,20.0,27.4,2.8,170.0,54.0,0.56,27.7,4.51,0.5,1.7,0.5,114.0,0.1,1.3,0.12,5.5,24.0,-0.1,21.5,15.5,10499.999520000001,15200.0,7600.0,200.0,2300.0,220.0,880.0,1800.0,140.0
ID093G071004,53.65023,-122.98068,LTQCh,basaltic volcanic rocks,360.0,6.699999809,162.0,0.08,0.68,5.5,50.0,43.5,3.0,205.0,150.0,2.01,66.8,5.51,1.06,2.7,1.2,50.5,0.06,0.9,0.12,1.5,36.0,-0.1,111.6,11.0,12200.00029,9900.0,10500.0,500.0,3600.0,250.0,9800.0,2800.0000000000005,280.0
ID093G071005,53.66609,-123.0201,LTQCh,basaltic volcanic rocks,500.0,7.300000191,244.0,0.12,0.53,8.8,78.5,56.89,6.5,295.0,254.0,1.7,93.7,7.99,1.3,4.6,1.2,47.5,0.06,0.7,0.14,1.8,60.0,-0.1,86.8,24.0,16000.000240000001,7200.0,19800.0,800.0,5400.0,260.0,1380.0000000000002,2200.0,290.0
ID093G071006,53.63407,-122.99388,LTQCh,basaltic volcanic rocks,340.0,4.5,205.5,0.1,0.6,12.6,92.0,53.25,5.3,410.0,343.0,1.34,116.7,9.17,0.99,7.7,1.0,57.0,0.08,1.7,0.22,2.9,58.0,-0.1,99.4,15.0,17599.9999,9200.0,22900.0,1000.0,8100.000000000001,370.0,840.0,1800.0,650.0
ID093G071007,53.63407,-122.99388,LTQCh,basaltic volcanic rocks,360.0,4.699999809,211.5,0.12,0.63,13.4,88.0,53.51,5.6,415.0,342.0,1.45,120.8,8.39,0.96,8.4,1.1,60.5,0.08,1.8,0.22,3.1,58.0,-0.1,104.9,16.0,17799.99971,9100.0,22400.000000000004,900.0,8200.0,360.0,840.0,2000.0,630.0
ID093G071008,53.6258,-122.99843,LTQCh,basaltic volcanic rocks,320.0,3.299999952,196.0,0.1,0.6,12.5,85.5,51.96,5.0,405.0,322.0,1.43,125.1,6.59,0.84,7.3,1.0,57.5,0.08,1.5,0.14,2.8,52.0,-0.1,93.9,14.5,17300.00019,9400.0,22100.0,700.0000000000001,8700.0,310.0,810.0,2000.0,630.0
ID093G071010,53.62688,-123.04391,LTQCh,basaltic volcanic rocks,260.0,7.900000095,128.0,0.06,0.54,9.9,88.5,49.48,3.1,200.0,175.0,3.44,244.0,4.6,0.68,4.7,1.2,50.0,0.06,0.8,0.12,4.0,36.0,-0.1,76.6,11.0,12799.99971,9100.0,13100.0,500.0,8200.0,280.0,670.0,4200.0,340.0
ID093G071011,53.5922,-123.06542,TrJTk,volcaniclastic rocks,160.0,3.200000048,125.0,0.06,0.36,6.6,45.0,35.25,1.5,130.0,311.0,4.34,178.1,3.59,0.76,1.9,1.8,50.0,0.04,0.6,0.08,0.5,22.0,-0.1,73.6,5.0,5400.00021,10900.0,12800.0,300.0,5600.000000000001,230.0,730.0,6200.0,220.0
ID093G071012,53.58636,-122.99156,TrJTk,volcaniclastic rocks,300.0,7.900000095,179.0,0.1,0.52,9.1,115.5,59.46,3.6,430.0,346.0,3.37,89.3,5.73,1.9,4.2,1.8,75.5,0.08,0.9,0.1,2.4,42.0,-0.1,82.9,10.5,13300.00043,12900.0,17200.0,600.0,5100.0,270.0,850.0000000000001,4400.0,350.00000000000006
