,MASTERID,LAT,LONG,STRAT,Actual_Cu_PPM,Pred_Cu_PPM
618,ID093J071356,54.71595,-123.7595,TrJTk,51.87,52.26
1460,ID093J073852,54.6828,-122.63598,DPBc,22.29,30.57
711,ID093J071546,54.5483,-123.75624,TrJTk,51.7,44.64
286,ID093G073193,53.83348,-122.04928,CPSm,16.51,20.28
348,ID093G073262,53.74554,-123.60628,MTrCc,21.72,22.33
1073,ID093J073411,54.02351,-123.18726,TrJTk,24.96,22.49
229,ID093G073109,53.6959,-122.45026,TrJTk,53.12,39.56
45,ID093G071905,53.862,-123.25419,TrJTk,38.42,38.34
1705,ID093K071363,54.4618,-124.06361,TrJTk,23.36,37.02
1133,ID093J073483,54.06569,-123.08674,TrJTk,23.78,30.07
1564,ID093J073988,54.9572,-123.22323,TrJTk,61.67,61.08
1731,ID093N071170,55.02118,-124.60431,TrJTk,66.59,55.64
1691,ID093J075166,54.70576,-123.12341,KTpg,44.58,53.84
309,ID093G073218,53.74164,-123.27247,MTrCc,60.34,54.32
869,ID093J071723,54.35756,-123.5116,TrJTk,21.71,33.15
610,ID093J071348,54.52806,-123.82247,LTQCh,25.31,28.26
1519,ID093J073917,54.55835,-123.02582,TrJTk,41.72,53.78
976,ID093J071844,54.21884,-123.3869,TrJTk,38.46,41.22
887,ID093J071743,54.41405,-123.61028,TrJTk,50.77,53.12
178,ID093G073053,53.31978,-122.70005,uTrJNc,25.41,38.35
1624,ID093J075091,54.89909,-123.06336,TrJTk,24.82,32.88
1471,ID093J073864,54.70228,-122.77029,KTpg,37.29,38.91
34,ID093G071039,53.62192,-122.90718,LTQCh,60.68,62.49
1869,ID093O072448,55.0809,-123.75462,TrJTk,52.89,52.06
106,ID093G071972,53.63827,-123.54799,PJml,23.23,22.71
359,ID093G073273,53.83196,-123.60829,MTrCc,10.6,12.59
312,ID093G073222,53.76403,-123.41299,MTrCc,12.92,12.79
458,ID093J071042,54.0485,-123.68109,LTQCh,28.21,29.93
1618,ID093J075085,54.93926,-123.11601,TrJTk,95.89,89.81
669,ID093J071488,54.9415,-123.51092,KTpg,15.99,33.04
129,ID093G071997,53.38979,-123.32965,MTrCc,24.27,30.48
1428,ID093J073816,54.34632,-122.64482,CPSm,33.57,48.93
217,ID093G073095,53.42217,-122.50221,uTrJNc,29.08,41.53
1431,ID093J073819,54.32651,-122.55463,KTpg,10.59,14.26
247,ID093G073129,53.74687,-122.28804,MJqm,31.28,31.33
825,ID093J071674,54.27737,-123.5962,TrJTk,70.63,62.3
535,ID093J071127,54.61545,-123.99299,LTQCh,56.35,56.06
807,ID093J071653,54.50353,-123.64174,TrJTk,46.71,48.72
185,ID093G073060,53.49539,-122.53868,uTrJNc,53.91,60.7
617,ID093J071355,54.4838,-123.88158,TrJTk,25.72,21.46
1881,ID093O072464,55.19965,-123.46534,OMEa,51.13,52.2
82,ID093G071947,53.4259,-123.36591,MTrCc,44.02,35.62
1678,ID093J075151,54.75277,-122.93934,CPSm,4.72,7.87
1647,ID093J075117,54.90051,-123.0194,TrJTk,64.98,48.84
1197,ID093J073558,54.31945,-123.18081,TrJTk,88.31,58.35
1947,ID093O075035,55.00649,-123.10519,TrJTk,14.06,21.9
638,ID093J071383,54.6651,-123.75481,TrJTk,11.3,36.2
225,ID093G073105,53.687,-122.53301,TrJTk,27.79,35.22
1355,ID093J073735,54.27639,-122.64817,TrJTk,29.63,31.66
1222,ID093J073587,54.45562,-123.20407,TrJTk,49.1,45.4
940,ID093J071802,54.47812,-123.39251,TrJTk,79.72,76.51
179,ID093G073054,53.32903,-122.7224,uTrJNc,52.46,67.34
1682,ID093J075156,54.7052,-122.97082,TrJTk,38.08,43.19
514,ID093J071104,54.75107,-123.6183,KTpg,40.46,40.26
1399,ID093J073784,54.53708,-123.20503,TrJTk,30.47,41.34
944,ID093J071806,54.45842,-123.43169,TrJTk,61.1,57.83
1886,ID093O072470,55.14855,-123.58527,TrJTk,47.2,62.32
1,ID093G071003,53.62691,-122.96569,LTQCh,27.4,37.38
627,ID093J071370,54.61448,-123.74282,TrJTk,53.81,64.59
1671,ID093J075144,54.86285,-122.9752,TrJTk,80.24,64.59
200,ID093G073077,53.19506,-122.32853,uTrJNc,65.22,63.46
703,ID093J071537,54.61345,-123.63537,TrJTk,35.01,42.61
1822,ID093O072317,55.07843,-123.89556,TrJTk,48.49,46.82
1333,ID093J073710,54.31797,-122.81806,TrJTk,35.21,45.7
69,ID093G071931,53.50974,-123.45515,PJog,30.88,32.68
1452,ID093J073843,54.58379,-122.60779,SDs,27.23,34.35
966,ID093J071833,54.20523,-123.48312,TrJTk,47.39,45.84
272,ID093G073169,53.80032,-122.19192,TrJTk,20.43,22.39
1157,ID093J073514,54.13615,-122.98929,TrJTk,53.36,51.73
1043,ID093J073370,54.21211,-123.32001,TrJTk,27.7,32.46
582,ID093J071257,54.65873,-123.85341,EKgd,72.72,58.03
1345,ID093J073724,54.03774,-122.84621,TrJTk,47.53,52.7
1179,ID093J073538,54.25523,-123.09241,TrJTk,50.64,39.16
1658,ID093J075130,54.78017,-123.00577,CPSm,34.41,57.63
833,ID093J071683,54.27911,-123.47257,TrJTk,59.54,59.17
1689,ID093J075164,54.70129,-123.08532,KTpg,68.78,60.59
1676,ID093J075149,54.74257,-122.89605,CPSm,36.16,28.05
1702,ID093J075178,54.62066,-122.86107,CPSm,45.04,48.73
1137,ID093J073487,54.04211,-123.07726,TrJTk,33.29,38.54
1632,ID093J075100,54.78094,-123.1196,KTpg,41.81,42.12
1283,ID093J073655,54.50592,-123.20748,TrJTk,58.56,58.8
397,ID093G073316,53.85134,-123.36002,MTrCc,29.14,28.23
431,ID093G073418,53.99178,-123.0847,TrJTk,16.87,17.6
1491,ID093J073886,54.56475,-122.85676,uKTS,64.11,59.66
5,ID093G071007,53.63407,-122.99388,LTQCh,53.51,56.58
1669,ID093J075142,54.85065,-122.9708,TrJTk,48.95,52.25
1071,ID093J073408,54.02617,-123.1336,TrJTk,45.5,41.31
1607,ID093J075073,54.88095,-123.17692,TrJTk,67.07,62.21
1044,ID093J073371,54.2014,-123.29738,TrJTk,33.46,33.05
391,ID093G073310,53.85179,-123.6776,MTrCc,22.72,29.96
327,ID093G073238,53.7354,-123.58653,MTrCc,25.87,29.56
1514,ID093J073912,54.57548,-123.08801,TrJTk,36.46,37.02
1293,ID093J073666,54.51131,-123.37845,KTpg,59.29,53.2
1586,ID093J075049,54.94168,-123.21565,TrJTk,94.3,80.02
140,ID093G073010,53.4204,-123.02271,MTrCc,79.6,65.91
1241,ID093J073607,54.3662,-123.24678,TrJTk,64.55,59.82
1771,ID093N071214,55.06805,-124.21144,TrJTk,76.27,53.45
1231,ID093J073596,54.46525,-123.28283,TrJTk,53.35,59.84
730,ID093J071567,54.60465,-123.52784,KTpg,57.62,59.57
52,ID093G071912,53.73192,-123.06371,TrJTk,62.34,54.36
982,ID093J071851,54.15775,-123.3935,TrJTk,46.85,57.12
406,ID093G073326,53.84253,-123.82323,MTrCc,2.72,4.22
1439,ID093J073828,54.28444,-122.49229,KTpg,25.14,29.85
706,ID093J071540,54.51919,-123.78728,TrJTk,16.86,20.39
1069,ID093J073406,54.03464,-123.1123,TrJTk,26.63,32.28
1444,ID093J073834,54.26832,-122.61693,CPSm,29.85,32.66
1099,ID093J073445,54.40846,-123.30558,TrJTk,69.94,52.58
1068,ID093J073405,54.04974,-123.11645,TrJTk,16.12,18.3
792,ID093J071635,54.50483,-123.54536,TrJTk,39.58,40.4
1769,ID093N071212,55.08569,-124.20579,TrJTk,36.44,30.26
1798,ID093N071311,55.14178,-124.00914,uKTS,137.5,75.7
1709,ID093K071828,54.44412,-124.1897,MTrCc,16.78,15.61
1594,ID093J075057,54.87269,-123.2113,TrJTk,31.9,45.91
182,ID093G073057,53.46954,-122.76412,uTrJNc,38.87,40.0
738,ID093J071576,54.6281,-123.47188,KTpg,62.94,62.2
197,ID093G073074,53.2322,-122.2767,uTrJNc,28.76,29.99
211,ID093G073089,53.31155,-122.41906,uTrJNc,69.98,58.5
410,ID093G073330,53.87277,-123.9187,PJml,30.86,35.97
1462,ID093J073854,54.69236,-122.69141,SDs,48.03,69.46
255,ID093G073138,53.70687,-122.02776,TrJTk,34.7,61.43
878,ID093J071733,54.40557,-123.48508,TrJTk,42.38,47.0
1095,ID093J073440,54.4532,-123.34455,TrJTk,50.29,47.73
796,ID093J071640,54.5418,-123.58643,TrJTk,107.0,78.54
375,ID093G073291,53.83558,-123.3876,MTrCc,10.64,14.76
1446,ID093J073836,54.42804,-122.52748,KTpg,25.99,38.34
965,ID093J071832,54.21186,-123.51365,TrJTk,47.86,48.56
442,ID093H073154,53.57216,-121.99948,TrJTk,33.81,45.58
1547,ID093J073956,54.89049,-123.26273,TrJTk,32.58,46.24
176,ID093G073051,53.31783,-122.6695,uTrJNc,16.2,23.01
35,ID093G071878,53.99663,-123.24068,TrJTk,29.43,25.14
1360,ID093J073740,54.28784,-122.70491,TrJTk,30.63,31.94
837,ID093J071687,54.27576,-123.40351,TrJTk,57.58,60.27
183,ID093G073058,53.51199,-122.58493,TrJTk,41.53,40.08
1819,ID093O072313,55.09103,-123.90378,TrJTk,85.4,68.84
1923,ID093O073976,55.02277,-123.27116,TrJTk,86.66,62.75
1379,ID093J073762,54.49583,-122.82124,KTpg,40.46,47.83
331,ID093G073243,53.78089,-123.42523,MTrCc,22.27,22.58
108,ID093G071974,53.65683,-123.62489,ETgd,32.5,34.44
1079,ID093J073423,54.15637,-123.27519,TrJTk,43.61,43.57
1699,ID093J075175,54.61456,-123.04147,TrJTk,96.93,81.25
786,ID093J071629,54.492,-123.44683,TrJTk,69.43,58.54
1128,ID093J073477,54.08594,-123.10862,TrJTk,30.45,34.04
1716,ID093N071153,55.01747,-124.17387,TrJTk,41.78,32.11
660,ID093J071407,54.98706,-123.97795,TrJTk,29.93,41.56
438,ID093G073500,53.99261,-122.97218,TrJTk,35.76,37.7
611,ID093J071349,54.46739,-123.90878,TrJTk,42.95,37.44
15,ID093G071018,53.5351,-122.86143,TrJTk,57.19,52.71
