Ag_ICP_PPB,As_ICP_PPM,Ba_ICP_PPM,Bi_ICP_PPM,Cd_ICP_PPM,Co_ICP_PPM,Cr_ICP_PPM,Cu_ICP_PPM,Ga_ICP_PPM,Hg_ICP_PPB,Mn_ICP_PPM,Mo_ICP_PPM,Ni_ICP_PPM,Pb_ICP_PPM,Sb_ICP_PPM,Sc_ICP_PPM,Se_ICP_PPM,Sr_ICP_PPM,Te_ICP_PPM,Th_ICP_PPM,Tl_ICP_PPM,U_ICP_PPM,V_ICP_PPM,W_ICP_PPM,Zn_ICP_PPM,La_ICP_PPM,Al_ICP_PPM,Ca_ICP_PPM,Fe_ICP_PPM,K_ICP_PPM,Mg_ICP_PPM,Na_ICP_PPM,P_ICP_PPM,S_ICP_PPM,Ti_ICP_PPM,Actual_Strat,Pred_Strat,Is_Equal,LAT,LONG,rock_type
640.0,14.69999981,27.0,0.14,1.54,17.1,79.5,74.96,6.0,345.0,322.0,4.43,118.7,6.28,0.92,6.9,3.1,66.0,0.08,0.8,0.24,1.1,70.0,-0.1,218.5,12.5,22699.999809999998,9900.0,36400.0,1100.0,7600.0,340.0,1200.0,9400.0,300.0,TrJTk,TrJTk,True,54.60844,-123.60911,basaltic volcanic rocks
10.0,6.699999809,53.0,-0.02,0.18,3.1,13.0,9.27,0.6,25.0,601.0,3.81,14.5,2.35,0.18,2.6,0.8,88.0,0.02,1.8,-0.02,1.2,20.0,-0.1,115.1,2.0,1700.0000200000002,36100.0,52500.0,300.0,3100.0,350.00000000000006,880.0,10400.0,80.0,MTrCc,MTrCc,True,53.85673,-123.86007,basaltic volcanic rocks
220.0,5.800000191,17.5,0.04,0.76,4.7,19.0,33.71,0.9,125.0,232.0,4.58,32.3,6.13,0.68,1.3,1.8,45.5,0.04,0.2,0.08,0.8,20.0,-0.1,72.1,2.5,4900.0001,15900.0,15700.0,200.0,2200.0,460.0,620.0,19600.0,80.0,LTQCh,CPSm,False,54.79845,-123.96966,basaltic volcanic rocks
380.0,3.900000095,186.5,0.06,1.89,3.8,48.5,44.27,2.4,170.0,190.0,3.57,29.7,6.29,0.58,1.7,1.1,55.0,0.02,0.3,0.06,0.6,32.0,-0.1,209.7,10.0,8399.999740000001,8000.0,9500.0,400.0,2200.0,320.0,1240.0,2600.0,80.0,TrJTk,TrJTk,True,54.1056,-123.2866,volcaniclastic rocks
160.0,2.900000095,37.5,0.04,0.6,2.9,179.5,17.28,1.6,35.0,60.0,5.0,13.2,1.69,0.8,1.7,7.7,24.5,-0.02,0.3,0.04,3.6,38.0,-0.1,74.8,2.5,4900.0001,8900.0,6600.0,200.0,1600.0,260.0,310.0,7400.0,150.0,CPSm,CPSm,True,53.83163,-122.0388,basaltic volcanic rocks
780.0,5.900000095,395.5,0.08,1.29,3.9,39.0,41.6,3.2,340.0,174.0,2.4,32.4,6.79,0.38,1.9,1.5,49.0,0.02,0.4,0.1,0.9,36.0,-0.1,102.3,16.5,19800.00019,10200.0,12400.0,400.0,1800.0,280.0,3420.0000000000005,3000.0,50.0,TrJTk,CPSm,False,54.34208,-122.71659,basaltic volcanic rocks
900.0,6.599999905,440.5,0.16,1.48,11.1,88.0,64.5,4.9,350.0,342.0,2.78,101.4,4.23,0.8,3.9,2.8,54.5,0.06,1.3,0.18,2.3,68.0,-0.1,145.0,15.0,21300.00114,10200.0,22200.000000000004,700.0000000000001,4400.0,290.0,2950.0,3600.0,170.0,KTpg,CPSm,False,54.5677,-123.28682,paragneiss metamorphic rocks
440.0,17.70000076,42.0,0.04,2.88,5.4,80.5,50.11,1.9,320.0,1537.0,19.48,30.3,5.49,0.9,3.1,7.1,81.5,0.04,0.9,0.14,12.1,42.0,0.1,86.8,13.0,8000.000120000001,22000.0,9500.0,300.0,3500.0,480.0,580.0,9200.0,170.0,KTpg,TrJTk,False,54.74164,-123.60843,paragneiss metamorphic rocks
360.0,1.5,56.0,0.04,0.66,4.0,42.5,32.0,1.7,130.0,144.0,0.79,16.2,1.65,0.28,1.3,2.5,13.5,-0.02,0.1,0.02,0.2,36.0,-0.1,40.9,4.5,16499.99976,3600.0,3300.0,300.0,800.0,300.0,1270.0,3400.0000000000005,50.0,TrJTk,TrJTk,True,53.56133,-121.96224,undivided sedimentary rocks
400.0,19.89999962,13.0,0.04,0.72,5.6,47.0,31.53,0.6,135.0,295.0,7.76,13.1,4.0,1.1,3.4,4.0,29.5,0.04,0.3,0.06,0.6,104.0,-0.1,67.2,2.5,4699.99999,8400.0,22000.0,200.0,800.0,230.0,640.0,13200.0,80.0,TrJTk,TrJTk,True,55.07177,-123.9181,calc-alkaline volcanic rocks
720.0,9.600000381,89.5,0.08,2.23,9.4,89.5,73.25,5.3,395.0,295.0,2.77,92.6,4.04,1.1,3.3,2.4,61.0,0.08,0.2,0.26,1.8,60.0,-0.1,164.6,17.0,22400.0001,9800.0,17700.0,900.0,4600.0,380.0,1920.0,4000.0,220.0,KTpg,CPSm,False,54.62209,-123.52577,paragneiss metamorphic rocks
600.0,6.699999809,131.5,0.06,0.81,3.6,20.5,53.05,1.0,210.0,63.0,3.07,20.9,3.22,0.76,0.5,1.0,34.0,0.04,0.1,0.08,1.0,16.0,-0.1,49.4,5.5,10499.999520000001,7400.0,5500.0,100.0,1000.0,340.0,1400.0000000000002,4200.0,50.0,TrJTk,TrJTk,True,55.10414,-124.68763,undivided sedimentary rocks
460.0,2.599999905,133.5,0.04,0.73,4.0,29.0,25.14,3.7,275.0,74.0,0.81,26.9,5.89,0.24,0.7,2.4,37.5,-0.02,0.3,0.04,1.0,14.0,-0.1,53.7,15.0,17200.00029,6700.0,5400.0,400.0,1300.0,320.0,2170.0,3600.0,40.0,KTpg,KTpg,True,54.28444,-122.49229,paragneiss metamorphic rocks
260.0,3.0,220.0,0.04,1.28,6.4,50.0,32.04,3.2,175.0,165.0,2.22,54.5,5.12,0.36,2.7,1.1,50.5,0.02,0.6,0.14,1.2,24.0,-0.1,96.6,10.5,13700.00005,7900.0,10400.0,500.0,4000.0,320.0,1050.0,3200.0,70.0,TrJTk,TrJTk,True,54.24093,-123.33681,"mudstone, siltstone, shale fine clastic sedimentary rocks"
446.0,5.0,260.5,0.09,1.96,11.2,96.0,48.88,4.8,310.0,200.0,1.69,115.7,7.29,0.36,5.1,2.0,71.0,0.04,0.9,0.16,1.3,56.0,-0.1,168.8,9.5,16499.99976,13100.0,19300.0,700.0000000000001,8000.0,380.0,1150.0,4800.0,210.0,TrJTk,TrJTk,True,54.53762,-123.50833,basaltic volcanic rocks
520.0,6.599999905,55.5,0.04,1.01,4.7,50.5,40.47,1.1,120.0,120.0,1.82,15.5,3.53,0.84,1.4,3.0,32.5,-0.02,-0.1,0.04,0.6,30.0,-0.1,47.9,4.5,8299.99983,10500.0,7100.0,200.0,2100.0,390.0,770.0,6200.0,90.0,TrJTk,TrJTk,True,54.90197,-123.92763,calc-alkaline volcanic rocks
80.0,17.79999924,141.5,-0.02,0.15,4.5,15.0,6.89,0.6,40.0,1934.0,2.77,16.1,5.742047493403704,0.16,1.9,0.8,46.0,-0.02,0.5,0.04,0.2,26.0,-0.1,61.7,1.0,1400.0000100000002,15100.0,137400.0,200.0,1600.0,280.0,10990.0,3400.0000000000005,70.0,MTrCc,MTrCc,True,53.80502,-123.42144,basaltic volcanic rocks
400.0,4.300000191,274.0,0.1,0.97,8.8,89.5,49.8,4.0,255.0,299.0,1.78,96.8,8.16,0.64,13.5,1.4,51.0,0.04,6.1,0.22,1.4,44.0,0.2,98.3,13.0,17400.0001,10700.0,20600.0,600.0,5000.0,300.0,1240.0,2600.0,170.0,TrJTk,TrJTk,True,54.43606,-123.22005,basaltic volcanic rocks
80.0,1.299999952,75.0,0.04,0.18,3.7,69.4,17.15,2.8,40.0,113.0,3.17,19.3,0.33,0.22,1.2,0.7,26.3,-0.02,0.9,0.04,0.4,26.0,-0.1,95.2,6.2,5500.000120000001,5800.0,8600.0,-100.0,2200.0,340.0,670.0,400.0,400.0,MTrCc,MTrCc,True,53.79714,-123.76247,basaltic volcanic rocks
300.0,5.300000191,207.0,0.1,0.71,9.5,77.0,35.68,5.0,115.0,279.0,1.52,36.6,6.11,0.56,3.6,0.6,38.0,0.02,0.4,0.08,0.4,66.0,-0.1,130.1,11.0,15800.00043,5000.0,22599.999999999996,1000.0,4700.0,460.0,1250.0,1200.0,240.0,TrJTk,TrJTk,True,54.13241,-123.3686,volcaniclastic rocks
10.0,8.5,215.5,-0.02,0.1,2.9,8.5,3.88,0.5,20.0,6042.0,3.88,8.8,1.99,0.16,1.1,0.5,251.0,0.08,1.6,0.02,0.8,10.0,-0.1,46.4,0.5,500.00001000000003,100000.0,251800.0,200.0,4100.0,540.0,6830.000000000001,3000.0,20.0,MTrCc,MTrCc,True,53.84253,-123.82323,basaltic volcanic rocks
460.0,4.199999809,178.5,0.14,0.5,12.7,80.0,51.9,7.4,90.0,541.0,2.48,59.0,6.55,0.49,5.7,2.7,39.5,0.02,0.6,0.1,0.9,70.0,-0.1,121.7,11.5,31900.000570000004,7800.0,22599.999999999996,800.0,5699.999999999999,380.0,1419.9999999999998,4000.0,390.0,TrJTk,TrJTk,True,53.6977,-122.51563,undivided sedimentary rocks
140.0,23.60000038,17.5,0.04,0.46,6.9,39.0,25.31,1.4,65.0,282.0,4.0,39.9,3.75,0.42,2.2,1.3,63.5,0.06,0.4,0.06,0.8,18.0,-0.1,82.7,3.0,5199.99981,16500.0,21100.0,400.0,3900.0,310.0,760.0,14000.0,200.0,LTQCh,TrJTk,False,54.52806,-123.82247,basaltic volcanic rocks
400.0,3.299999952,228.0,0.08,0.88,8.0,58.5,39.91,4.6,205.0,177.0,1.1,64.6,2.89,0.42,1.8,1.3,46.5,0.04,0.3,0.12,1.1,36.0,-0.1,107.6,13.5,19600.00038,6600.0,15600.0,700.0000000000001,4800.0,350.00000000000006,1660.0,2400.0,70.0,TrJTk,TrJTk,True,54.23915,-123.3944,"mudstone, siltstone, shale fine clastic sedimentary rocks"
80.0,5.099999905,74.0,-0.02,0.31,5.1,11.0,12.21,0.5,45.0,258.0,3.6,22.1,5.742047493403704,0.32,0.6,0.7,50.5,-0.02,0.2,0.04,0.7,16.0,-0.1,117.8,2.0,1500.0000599999998,13600.000000000002,15300.0,-100.0,1600.0,240.0,709.9999999999999,2400.0,70.0,MTrCc,MTrCc,True,53.79458,-123.49729,basaltic volcanic rocks
