,MASTERID,LAT,LONG,STRAT,Actual_Zn_PPM,Pred_Zn_PPM
656,ID093J071403,54.88465,-123.73029,KTpg,51.2,70.22
1224,ID093J073589,54.46093,-123.21188,TrJTk,100.1,112.2
339,ID093G073251,53.7815,-123.28454,MTrCc,48.0,68.28
1507,ID093J073904,54.59739,-123.19954,KTpg,62.7,66.65
1916,ID093O073968,55.11598,-123.19803,OMEa,75.3,80.17
1409,ID093J073794,54.50858,-122.98312,TrJTk,117.1,115.98
950,ID093J071813,54.42787,-123.6903,TrJTk,117.4,117.88
1006,ID093J071877,54.02864,-123.41165,TrJTk,72.6,61.6
762,ID093J071603,54.58185,-123.42891,KTpg,97.0,110.96
1051,ID093J073378,54.13264,-123.32751,TrJTk,111.9,123.69
521,ID093J071111,54.80011,-123.64196,KTpg,77.8,77.36
11,ID093G071014,53.57492,-122.93329,TrJTk,96.9,119.94
1906,ID093O072503,55.06894,-123.6423,TrJTk,58.3,74.91
897,ID093J071753,54.56345,-123.33552,KTpg,164.5,176.5
1227,ID093J073592,54.47206,-123.19935,TrJTk,186.1,157.72
1088,ID093J073432,54.33598,-123.35924,TrJTk,64.1,67.98
685,ID093J071517,54.65632,-123.57837,KTpg,142.5,144.49
1253,ID093J073620,54.15937,-122.91305,TrJTk,156.4,132.94
945,ID093J071807,54.45198,-123.5071,TrJTk,122.0,127.79
1365,ID093J073746,54.30904,-122.73902,TrJTk,83.4,76.11
319,ID093G073229,53.68795,-123.57585,PJog,111.4,79.62
248,ID093G073130,53.74707,-122.31022,MJqm,74.5,67.53
1132,ID093J073482,54.06347,-123.10011,TrJTk,50.0,63.93
1808,ID093O072220,55.02338,-123.92707,TrJTk,59.6,84.31
964,ID093J071831,54.22914,-123.53017,TrJTk,34.8,62.27
1120,ID093J073469,54.14512,-123.20589,TrJTk,119.9,100.88
1046,ID093J073373,54.1667,-123.27298,TrJTk,185.6,135.42
683,ID093J071515,54.67654,-123.58522,KTpg,100.6,123.98
311,ID093G073220,53.76367,-123.33459,MTrCc,63.1,81.68
1917,ID093O073969,55.10097,-123.19237,OMEa,177.8,140.62
1783,ID093N071295,55.17545,-124.2803,?ETOo,33.5,66.11
1892,ID093O072476,55.11082,-123.61268,TrJTk,92.6,98.41
560,ID093J071232,54.89245,-123.89305,TrJTk,56.5,52.38
537,ID093J071129,54.67975,-123.97877,LTQCh,219.1,164.15
1334,ID093J073711,54.3147,-122.80493,TrJTk,167.1,137.91
768,ID093J071610,54.61092,-123.38197,KTpg,87.5,90.66
1594,ID093J075057,54.87269,-123.2113,TrJTk,69.0,76.22
1291,ID093J073664,54.52681,-123.44418,KTmc,175.2,150.84
778,ID093J071620,54.70647,-123.23197,Kpe,140.8,141.42
1029,ID093J073354,54.08215,-123.33155,TrJTk,119.3,91.15
905,ID093J071763,54.73273,-123.15947,KTpg,96.9,113.16
957,ID093J071820,54.41612,-123.88994,TrJTk,69.7,86.41
1956,ID093O075045,55.04947,-123.08231,CmOKe,77.9,78.33
730,ID093J071567,54.60465,-123.52784,KTpg,149.8,152.83
353,ID093G073267,53.76801,-123.81109,PJml,140.7,105.92
190,ID093G073066,53.35923,-122.40603,uTrJNc,26.4,48.41
1809,ID093O072222,55.0017,-123.90487,TrJTk,52.8,78.06
627,ID093J071370,54.61448,-123.74282,TrJTk,105.5,111.7
576,ID093J071251,54.63645,-123.87948,TrJTk,41.9,62.47
580,ID093J071255,54.65874,-123.89605,EKgd,91.7,80.82
1309,ID093J073684,54.4477,-122.94416,KTpg,171.9,225.08
599,ID093J071276,54.87297,-123.77669,KTpg,79.9,115.59
858,ID093J071711,54.39518,-123.6842,TrJTk,104.5,107.56
252,ID093G073135,53.73949,-122.158,TrJTk,67.2,88.78
1116,ID093J073464,54.19759,-123.23655,TrJTk,123.9,110.38
1559,ID093J073983,54.95627,-123.26125,TrJTk,115.8,87.19
78,ID093G071942,53.47604,-123.55414,MTrCc,24.0,58.29
1865,ID093O072444,55.12325,-123.72477,TrJTk,39.2,64.08
1498,ID093J073894,54.60828,-123.00303,TrJTk,126.2,123.0
1401,ID093J073786,54.52351,-123.18446,TrJTk,62.8,65.04
1104,ID093J073451,54.3165,-123.2619,TrJTk,93.6,109.18
1458,ID093J073850,54.6751,-122.59171,SDs,110.6,105.43
1523,ID093J073922,54.55769,-122.95047,TrJTk,60.5,67.49
920,ID093J071779,54.7398,-123.13827,KTpg,94.5,122.34
1070,ID093J073407,54.03797,-123.12709,TrJTk,78.6,103.71
1769,ID093N071212,55.08569,-124.20579,TrJTk,83.7,89.65
1320,ID093J073696,54.36545,-122.69697,CPSm,106.8,81.16
1453,ID093J073844,54.58379,-122.60779,SDs,86.7,82.31
294,ID093G073202,53.83107,-122.45507,TrJTk,85.0,123.85
1157,ID093J073514,54.13615,-122.98929,TrJTk,141.2,121.98
499,ID093J071088,54.775,-123.6783,KTpg,122.3,160.32
1441,ID093J073831,54.28313,-122.52076,KTpg,42.5,72.63
417,ID093G073344,53.9945,-123.64502,MTrCc,122.4,130.65
1469,ID093J073862,54.71464,-122.7657,CmOs,61.8,75.16
1492,ID093J073887,54.57193,-122.84818,uKTS,64.1,87.37
1568,ID093J073993,54.96959,-123.2223,TrJTk,129.6,120.33
571,ID093J071244,54.54196,-123.89745,LTQCh,65.5,66.27
204,ID093G073082,53.26488,-122.35222,Kgr,82.4,89.43
1683,ID093J075157,54.71714,-123.00888,KTpg,67.3,75.6
1725,ID093N071163,55.07874,-124.5823,TrJTk,84.7,94.91
880,ID093J071735,54.37974,-123.50527,TrJTk,130.8,109.36
1412,ID093J073798,54.48485,-122.99826,TrJTk,145.1,130.05
1090,ID093J073434,54.39989,-123.42303,TrJTk,94.4,95.93
9,ID093G071012,53.58636,-122.99156,TrJTk,82.9,89.94
630,ID093J071374,54.64482,-123.77576,EKgd,101.6,124.63
1913,ID093O073936,55.03058,-123.33957,ETgr,0.1,29.83
243,ID093G073125,53.69671,-122.09688,TrJTk,85.3,76.13
17,ID093G071020,53.55827,-122.78892,TrJTk,118.7,128.37
1788,ID093N071300,55.18538,-124.37761,lJCl,40.1,79.99
728,ID093J071565,54.59068,-123.53063,KTpg,140.3,131.65
244,ID093G073126,53.69671,-122.09688,TrJTk,81.5,83.47
1171,ID093J073529,54.11961,-123.12387,TrJTk,129.5,128.47
1036,ID093J073362,54.18438,-123.33525,TrJTk,72.1,80.11
101,ID093G071967,53.67628,-123.5156,PJog,6.4,48.39
557,ID093J071229,54.90013,-123.8748,TrJTk,40.7,37.74
809,ID093J071655,54.49211,-123.69254,TrJTk,137.0,133.61
1608,ID093J075074,54.88436,-123.15928,TrJTk,100.4,100.08
1173,ID093J073532,54.11926,-123.03846,TrJTk,120.7,96.02
882,ID093J071737,54.39785,-123.53933,TrJTk,84.0,88.48
139,ID093G073009,53.39663,-122.96109,MTrCc,38.6,79.25
640,ID093J071385,54.65662,-123.73628,TrJTk,124.4,132.29
1839,ID093O072339,55.07133,-123.79367,TrJTk,70.2,85.34
1596,ID093J075060,54.86042,-123.21935,TrJTk,40.5,45.21
1274,ID093J073645,54.36099,-122.76646,TrJTk,53.0,60.6
1709,ID093K071828,54.44412,-124.1897,MTrCc,61.5,64.71
1078,ID093J073416,54.00502,-123.11451,TrJTk,88.9,53.84
123,ID093G071991,53.57239,-123.38413,MTrCc,59.4,68.86
1571,ID093J073996,54.98426,-123.24709,TrJTk,113.7,90.73
1651,ID093J075122,54.80476,-123.01024,TrJTk,86.3,76.28
1948,ID093O075036,55.01274,-123.09476,CPSm,82.3,100.16
1958,ID093O075047,55.08226,-123.09563,CmOKe,66.6,73.68
1270,ID093J073640,54.345,-122.89718,KTpg,93.0,85.44
940,ID093J071802,54.47812,-123.39251,TrJTk,152.5,167.67
1194,ID093J073554,54.38741,-123.10465,TrJTk,116.1,121.18
1444,ID093J073834,54.26832,-122.61693,CPSm,84.5,98.54
1077,ID093J073415,54.0141,-123.11833,TrJTk,98.9,97.22
1669,ID093J075142,54.85065,-122.9708,TrJTk,35.1,76.24
789,ID093J071632,54.49985,-123.49676,TrJTk,117.4,122.2
1133,ID093J073483,54.06569,-123.08674,TrJTk,99.1,95.17
237,ID093G073118,53.72932,-122.28967,MJqm,101.2,91.09
1560,ID093J073984,54.94005,-123.25339,TrJTk,111.9,94.02
0,ID093G071002,53.61138,-122.9778,LTQCh,81.7,106.26
808,ID093J071654,54.49926,-123.66818,TrJTk,136.1,134.15
916,ID093J071775,54.80426,-123.16128,KTpg,95.4,101.94
664,ID093J071483,54.87325,-123.48674,KTpg,111.3,109.0
1891,ID093O072475,55.12522,-123.64264,TrJTk,48.0,65.64
780,ID093J071623,54.66068,-123.2671,KTpg,121.9,109.52
361,ID093G073275,53.82917,-123.56728,MTrCc,131.7,89.91
215,ID093G073093,53.35594,-122.46745,uTrJNc,102.7,117.26
83,ID093G071948,53.43267,-123.20172,MTrCc,35.2,53.66
